filename,File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean
4,Artificial_shapeshift_4_shapeshiftincremental_aobhs_uob.csv,39366,44607,15375,652,0.7191,0.9837,0.8309,0.9837,0.7437,0.8553
4,Artificial_shapeshift_4_shapeshiftperiodic_aobhs_uob.csv,39585,45116,14896,403,0.7266,0.9899,0.8381,0.9899,0.7518,0.8627
4,Artificial_shapeshift_4_shapeshiftsudden_aobhs_uob.csv,39555,44349,15633,463,0.7167,0.9884,0.8309,0.9884,0.7394,0.8549
4,Artificial_splitting-clusters_1_splitting-clustersincremental_aobhs_uob.csv,9222,77709,12416,653,0.4262,0.9339,0.5853,0.9339,0.8622,0.8973
4,Artificial_splitting-clusters_1_splitting-clustersperiodic_aobhs_uob.csv,9407,81981,8094,518,0.5375,0.9478,0.686,0.9478,0.9101,0.9288
4,Artificial_splitting-clusters_1_splitting-clusterssudden_aobhs_uob.csv,9235,76653,13466,646,0.4068,0.9346,0.5669,0.9346,0.8506,0.8916
4,Artificial_splitting-clusters_2_splitting-clustersincremental_aobhs_uob.csv,19380,67163,12823,634,0.6018,0.9683,0.7423,0.9683,0.8397,0.9017
4,Artificial_splitting-clusters_2_splitting-clustersperiodic_aobhs_uob.csv,19510,71191,8799,500,0.6892,0.975,0.8075,0.975,0.89,0.9315
4,Artificial_splitting-clusters_2_splitting-clusterssudden_aobhs_uob.csv,19501,66125,13901,473,0.5838,0.9763,0.7307,0.9763,0.8263,0.8982
4,Artificial_splitting-clusters_3_splitting-clustersincremental_aobhs_uob.csv,29453,58495,11503,549,0.7191,0.9817,0.8302,0.9817,0.8357,0.9057
4,Artificial_splitting-clusters_3_splitting-clustersperiodic_aobhs_uob.csv,29419,61969,8117,495,0.7838,0.9835,0.8723,0.9835,0.8842,0.9325
4,Artificial_splitting-clusters_3_splitting-clusterssudden_aobhs_uob.csv,29554,57447,12559,440,0.7018,0.9853,0.8197,0.9853,0.8206,0.8992
4,Artificial_splitting-clusters_4_splitting-clustersincremental_aobhs_uob.csv,39250,49886,10132,732,0.7948,0.9817,0.8784,0.9817,0.8312,0.9033
4,Artificial_splitting-clusters_4_splitting-clustersperiodic_aobhs_uob.csv,39235,53268,6746,751,0.8533,0.9812,0.9128,0.9812,0.8876,0.9332
4,Artificial_splitting-clusters_4_splitting-clusterssudden_aobhs_uob.csv,39403,48888,11126,583,0.7798,0.9854,0.8706,0.9854,0.8146,0.896
4,Real_amazon_aobhs_uob.csv,633,3587,3292,488,0.1613,0.5647,0.2509,0.5647,0.5214,0.5426
4,Real_Elec_aobhs_uob.csv,16395,23210,2865,2842,0.8512,0.8523,0.8518,0.8523,0.8901,0.871
4,Real_kaggle_aobhs_uob.csv,414,283420,895,78,0.3163,0.8415,0.4597,0.8415,0.9969,0.9159
4,Real_pakdd_aobhs_uob.csv,6222,21527,18597,3651,0.2507,0.6302,0.3587,0.6302,0.5365,0.5815
4,Real_tripadvisor_aobhs_uob.csv,3886,12201,2892,1512,0.5733,0.7199,0.6383,0.7199,0.8084,0.7629
4,Real_twitter_aobhs_uob.csv,760,5753,1909,668,0.2848,0.5322,0.371,0.5322,0.7508,0.6321
5,Artificial_appearing-clusters_1_appearing-clustersincremental_aobhs_uob.csv,9353,78592,11573,482,0.447,0.951,0.6081,0.951,0.8716,0.9105
5,Artificial_appearing-clusters_1_appearing-clustersperiodic_aobhs_uob.csv,9842,83955,6135,68,0.616,0.9931,0.7604,0.9931,0.9319,0.962
5,Artificial_appearing-clusters_1_appearing-clusterssudden_aobhs_uob.csv,9454,77926,12248,372,0.4356,0.9621,0.5997,0.9621,0.8642,0.9118
5,Artificial_appearing-clusters_2_appearing-clustersincremental_aobhs_uob.csv,19643,67262,12749,346,0.6064,0.9827,0.75,0.9827,0.8407,0.9089
5,Artificial_appearing-clusters_2_appearing-clustersperiodic_aobhs_uob.csv,20065,73639,6258,38,0.7623,0.9981,0.8644,0.9981,0.9217,0.9591
5,Artificial_appearing-clusters_2_appearing-clusterssudden_aobhs_uob.csv,19646,66891,13140,323,0.5992,0.9838,0.7448,0.9838,0.8358,0.9068
5,Artificial_appearing-clusters_3_appearing-clustersincremental_aobhs_uob.csv,29610,58755,11236,399,0.7249,0.9867,0.8358,0.9867,0.8395,0.9101
