filename,File Name,,,,,Cost,Runtime
1,Artificial,appearing-clusters,4,appearing-clustersincremental,MICFOAL.csv,181923,2.640625
1,Artificial,appearing-clusters,4,appearing-clustersincremental,OOB.csv,129014,5.0625
1,Artificial,appearing-clusters,4,appearing-clustersincremental,ROSE.csv,114729,10.15625
1,Artificial,appearing-clusters,4,appearing-clustersincremental,SGBT.csv,285743,69.734375
1,Artificial,appearing-clusters,4,appearing-clustersincremental,UOB.csv,128448,5.359375
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,ARF-Re.csv,98432,10.625
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,ARF.csv,101830,12.921875
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,CALMID.csv,100436,6.234375
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,CSMOTE.csv,103344,511.359375
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,EFDT.csv,106378,2.5625
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,MICFOAL.csv,107857,2.828125
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,OOB.csv,97404,5.5
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,ROSE.csv,98853,9.859375
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,SGBT.csv,158126,67.40625
1,Artificial,appearing-clusters,4,appearing-clustersperiodic,UOB.csv,96371,4.484375
1,Artificial,appearing-clusters,4,appearing-clusterssudden,ARF-Re.csv,114222,10.71875
1,Artificial,appearing-clusters,4,appearing-clusterssudden,ARF.csv,151616,12.828125
1,Artificial,appearing-clusters,4,appearing-clusterssudden,CALMID.csv,142654,6.546875
1,Artificial,appearing-clusters,4,appearing-clusterssudden,CSMOTE.csv,457895,547.578125
1,Artificial,appearing-clusters,4,appearing-clusterssudden,EFDT.csv,618298,2.6875
1,Artificial,appearing-clusters,4,appearing-clusterssudden,MICFOAL.csv,175299,3.015625
1,Artificial,appearing-clusters,4,appearing-clusterssudden,OOB.csv,124453,5.796875
1,Artificial,appearing-clusters,4,appearing-clusterssudden,ROSE.csv,116935,10.765625
1,Artificial,appearing-clusters,4,appearing-clusterssudden,SGBT.csv,289172,72.125
1,Artificial,appearing-clusters,4,appearing-clusterssudden,UOB.csv,129076,4.78125
1,Artificial,appearing-minority,1,appearing-minorityincremental,ARF-Re.csv,95120,7.359375
1,Artificial,appearing-minority,1,appearing-minorityincremental,ARF.csv,434753,8.890625
1,Artificial,appearing-minority,1,appearing-minorityincremental,CALMID.csv,410811,5.71875
1,Artificial,appearing-minority,1,appearing-minorityincremental,CSMOTE.csv,138789,49.03125
1,Artificial,appearing-minority,1,appearing-minorityincremental,EFDT.csv,582130,2.1875
1,Artificial,appearing-minority,1,appearing-minorityincremental,MICFOAL.csv,546506,2.421875
1,Artificial,appearing-minority,1,appearing-minorityincremental,OOB.csv,168207,4.9375
1,Artificial,appearing-minority,1,appearing-minorityincremental,ROSE.csv,242680,10.28125
1,Artificial,appearing-minority,1,appearing-minorityincremental,SGBT.csv,498871,102.5625
1,Artificial,appearing-minority,1,appearing-minorityincremental,UOB.csv,115603,4.34375
1,Artificial,appearing-minority,1,appearing-minorityperiodic,ARF-Re.csv,101143,7.1875
1,Artificial,appearing-minority,1,appearing-minorityperiodic,ARF.csv,133721,8.96875
1,Artificial,appearing-minority,1,appearing-minorityperiodic,CALMID.csv,136972,5.59375
1,Artificial,appearing-minority,1,appearing-minorityperiodic,CSMOTE.csv,115009,5.765625
1,Artificial,appearing-minority,1,appearing-minorityperiodic,EFDT.csv,149500,1.890625
1,Artificial,appearing-minority,1,appearing-minorityperiodic,MICFOAL.csv,142576,2.671875
1,Artificial,appearing-minority,1,appearing-minorityperiodic,OOB.csv,122255,4.375
1,Artificial,appearing-minority,1,appearing-minorityperiodic,ROSE.csv,120651,7.671875
1,Artificial,appearing-minority,1,appearing-minorityperiodic,SGBT.csv,145243,98.96875
1,Artificial,appearing-minority,1,appearing-minorityperiodic,UOB.csv,91124,3.78125
1,Artificial,appearing-minority,1,appearing-minoritysudden,ARF-Re.csv,90061,8
1,Artificial,appearing-minority,1,appearing-minoritysudden,ARF.csv,438201,10.4375
1,Artificial,appearing-minority,1,appearing-minoritysudden,CALMID.csv,410439,6.109375
1,Artificial,appearing-minority,1,appearing-minoritysudden,CSMOTE.csv,131967,69.109375
1,Artificial,appearing-minority,1,appearing-minoritysudden,EFDT.csv,585297,2.0625
1,Artificial,appearing-minority,1,appearing-minoritysudden,MICFOAL.csv,536179,2.59375
1,Artificial,appearing-minority,1,appearing-minoritysudden,OOB.csv,128696,4.796875
1,Artificial,appearing-minority,1,appearing-minoritysudden,ROSE.csv,216416,10.71875
1,Artificial,appearing-minority,1,appearing-minoritysudden,SGBT.csv,498275,103.125
1,Artificial,appearing-minority,1,appearing-minoritysudden,UOB.csv,116923,4.03125
1,Artificial,appearing-minority,2,appearing-minorityincremental,ARF-Re.csv,97299,8.9375
1,Artificial,appearing-minority,2,appearing-minorityincremental,ARF.csv,470303,11.265625
1,Artificial,appearing-minority,2,appearing-minorityincremental,CALMID.csv,399897,6.6875
1,Artificial,appearing-minority,2,appearing-minorityincremental,CSMOTE.csv,161993,83.65625
1,Artificial,appearing-minority,2,appearing-minorityincremental,EFDT.csv,1070497,1.921875
1,Artificial,appearing-minority,2,appearing-minorityincremental,MICFOAL.csv,837812,2.359375
1,Artificial,appearing-minority,2,appearing-minorityincremental,OOB.csv,150187,5.171875
1,Artificial,appearing-minority,2,appearing-minorityincremental,ROSE.csv,167815,9.328125
1,Artificial,appearing-minority,2,appearing-minorityincremental,SGBT.csv,733950,102.21875
1,Artificial,appearing-minority,2,appearing-minorityincremental,UOB.csv,101481,3.859375
1,Artificial,appearing-minority,2,appearing-minorityperiodic,ARF-Re.csv,100494,6.875
1,Artificial,appearing-minority,2,appearing-minorityperiodic,ARF.csv,145555,7.609375
1,Artificial,appearing-minority,2,appearing-minorityperiodic,CALMID.csv,140298,4.90625
1,Artificial,appearing-minority,2,appearing-minorityperiodic,CSMOTE.csv,121214,4.921875
1,Artificial,appearing-minority,2,appearing-minorityperiodic,EFDT.csv,206029,1.96875
1,Artificial,appearing-minority,2,appearing-minorityperiodic,MICFOAL.csv,193324,2.40625
1,Artificial,appearing-minority,2,appearing-minorityperiodic,OOB.csv,123109,4.609375
1,Artificial,appearing-minority,2,appearing-minorityperiodic,ROSE.csv,124346,7.6875
1,Artificial,appearing-minority,2,appearing-minorityperiodic,SGBT.csv,167483,99.4375
1,Artificial,appearing-minority,2,appearing-minorityperiodic,UOB.csv,99210,3.96875
1,Artificial,appearing-minority,2,appearing-minoritysudden,ARF-Re.csv,92526,8.734375
1,Artificial,appearing-minority,2,appearing-minoritysudden,ARF.csv,432426,10.953125
1,Artificial,appearing-minority,2,appearing-minoritysudden,CALMID.csv,339487,6.5
1,Artificial,appearing-minority,2,appearing-minoritysudden,CSMOTE.csv,157139,131.9375
1,Artificial,appearing-minority,2,appearing-minoritysudden,EFDT.csv,1081761,2.140625
1,Artificial,appearing-minority,2,appearing-minoritysudden,MICFOAL.csv,920724,2.625
1,Artificial,appearing-minority,2,appearing-minoritysudden,OOB.csv,117372,4.921875
1,Artificial,appearing-minority,2,appearing-minoritysudden,ROSE.csv,131896,9.359375
1,Artificial,appearing-minority,2,appearing-minoritysudden,SGBT.csv,726643,100.0625
1,Artificial,appearing-minority,2,appearing-minoritysudden,UOB.csv,123376,4.125
1,Artificial,appearing-minority,3,appearing-minorityincremental,ARF-Re.csv,101630,9.921875
1,Artificial,appearing-minority,3,appearing-minorityincremental,ARF.csv,318561,10.734375
1,Artificial,appearing-minority,3,appearing-minorityincremental,CALMID.csv,300579,6.046875
1,Artificial,appearing-minority,3,appearing-minorityincremental,CSMOTE.csv,196251,136.125
1,Artificial,appearing-minority,3,appearing-minorityincremental,EFDT.csv,1579620,2.1875
1,Artificial,appearing-minority,3,appearing-minorityincremental,MICFOAL.csv,1159948,2.78125
1,Artificial,appearing-minority,3,appearing-minorityincremental,OOB.csv,157678,5.78125
1,Artificial,appearing-minority,3,appearing-minorityincremental,ROSE.csv,146313,10.03125
1,Artificial,appearing-minority,3,appearing-minorityincremental,SGBT.csv,607687,99.234375
1,Artificial,appearing-minority,3,appearing-minorityincremental,UOB.csv,104704,4.328125
1,Artificial,appearing-minority,3,appearing-minorityperiodic,ARF-Re.csv,99852,7.390625
1,Artificial,appearing-minority,3,appearing-minorityperiodic,ARF.csv,148016,7.96875
1,Artificial,appearing-minority,3,appearing-minorityperiodic,CALMID.csv,154665,5.359375
1,Artificial,appearing-minority,3,appearing-minorityperiodic,CSMOTE.csv,125854,4.609375
1,Artificial,appearing-minority,3,appearing-minorityperiodic,EFDT.csv,245728,2.109375
1,Artificial,appearing-minority,3,appearing-minorityperiodic,MICFOAL.csv,209032,2.453125
1,Artificial,appearing-minority,3,appearing-minorityperiodic,OOB.csv,122628,4.671875
